time_bucket,building,clientCount
1620996900000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,38
1620996900000,36-EWI-HB,3
1620996900000,37-Sportcentrum,22
1620996900000,38-Cultureel Centrum,4
1620996900000,43-EGM,3
1620996900000,45-LSL,7
1620996900000,46-P E lab,41
1620996900000,50-TNW-RID,19
1620996900000,58-TNW-Zuid,88
1620996900000,60-LMS,0
1620996900000,61-Vliegtuighal,4
1620996900000,62-LR,5
1620996900000,63-Simona,0
1620996900000,64-HSL,0
1620996900000,66-Fellowship,0
1620996900000,Katalyse Labaratorium,2
1620996900000,Unknown,7
1620996900000,VLL-LAB(TNO),6
1620997200000,03-Science Center,40
1620997200000,05-TNW-BIO,4
1620997200000,08-BK-City,3
1620997200000,19-Studuitzendbureau,3
1620997200000,20-Aula,23
1620997200000,21-BTUD,267
1620997200000,22-TNW-TN,132
1620997200000,23-CITG,95
1620997200000,25-GreenVillage,24
1620997200000,26-Bouwcampus,21
1620997200000,28- WNI,3
1620997200000,30-IKC_ISD-FMVG,43
1620997200000,30-O S,0
1620997200000,31-TBM,2
1620997200000,32-OCP-IO,13
1620997200000,32a- Learninglab,0
1620997200000,33-Pulse,198
1620997200000,34-3ME,29
1620997200000,35-Drebbelweg,1
1620997200000,36-ESP-Lab,6
1620997200000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,36
1620997200000,36-EWI-HB,4
1620997200000,37-Sportcentrum,23
1620997200000,38-Cultureel Centrum,2
1620997200000,43-EGM,2
1620997200000,45-LSL,7
1620997200000,46-P E lab,40
1620997200000,50-TNW-RID,18
1620997200000,58-TNW-Zuid,85
1620997200000,60-LMS,3
1620997200000,61-Vliegtuighal,4
1620997200000,62-LR,6
1620997200000,63-Simona,0
1620997200000,64-HSL,0
1620997200000,66-Fellowship,0
1620997200000,Katalyse Labaratorium,3
1620997200000,Unknown,7
1620997200000,VLL-LAB(TNO),6
1620997500000,03-Science Center,43
1620997500000,05-TNW-BIO,3
1620997500000,08-BK-City,4
1620997500000,19-Studuitzendbureau,4
1620997500000,20-Aula,16
1620997500000,21-BTUD,270
